Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
2486,,167,,3644,738,,177,670,3223,8,606,713,3925,509,,,,,,5,162,,,,41,,3603,,302,436,,,,,,177,,226,30,,414,724,861,1638,,,8,,,597,9,81,,632,,,,1114,903,1859,49,506,,3,
2487,39,671,,1345,679,85,1134,354,775,,527,64,1701,295,1,10,3,25,5,645,21,,,,172,,1173,23,642,14,85,,,,,1134,,218,,,136,156,417,202,,,,,9,516,2,,,64,,,,252,444,996,9,295,,,
2488,,39,,354,30,,53,219,577,1,118,3,257,53,,,,,,34,5,,,,12,,342,,29,1,,,,,,53,,51,,,168,141,157,279,,,,1,,118,,,,3,,,,125,131,,1,51,,2,
2489,,549,,907,72,,52,173,1022,,152,44,554,18,,,,,,67,482,,,,22,,885,,67,5,,,,,,52,,54,,,119,223,263,536,,,,,,152,,,,44,,,,104,278,169,3,18,,,
2490,,3,,12,6,,,,93,,24,,23,106,,,,,,,3,,,,1,,11,,4,2,,,,,,,,,,,,35,10,48,,,,,,24,,,,,,,,15,8,,,106,,,
2500,4,506,,1117,390,405,9690,1831,1605,1,3401,708,2160,6,,1,2,1,,456,50,,,,917,2,198,71,304,15,78,,327,1977,,7605,108,854,,599,378,681,864,60,,,1,,704,938,1759,5,1,167,535,,3,1049,877,212,19,6,,,
2502,1,26,,431,30,3,93,541,1305,80,162,935,1679,1,,,,1,,7,19,,,,2,,429,1,29,,,,3,,,93,,80,,,461,523,203,579,,,80,,,102,60,407,256,244,2,26,52,566,509,34,518,1,,,
2505,5,25,,232,44,,89,285,559,6,171,296,702,,,,,5,,19,6,,,,27,2,203,3,41,,,,,,,89,,91,,,194,229,164,166,,,6,,,152,19,123,4,169,,,1,313,250,18,120,,,,
2506,,103,,72,40,5,5,126,759,71,173,779,995,4,,,,,,4,99,,,,2,,70,,39,1,,,5,,,5,,20,6,,100,259,233,267,,,71,,,145,28,550,79,75,27,48,1,254,236,34,470,4,,,
2508,152,899,,166,836,65,,45,525,,353,,53,13,1,9,4,138,52,540,307,,,,142,7,17,601,141,94,65,,,,,,,44,,,1,77,446,2,,,,,,313,40,,,,,,,5,48,,,13,,,
2515,529,1271,,1002,715,546,,110,83,,83,2,158,,11,33,11,474,,1271,,,,,743,114,145,324,369,22,479,,67,,,,,109,,,1,7,76,,,,,,16,60,7,,,2,,,,9,149,,,,,,
2516,132,672,,289,289,53,,160,437,,302,1,164,,2,4,,126,,668,4,,,,201,23,65,85,197,7,50,,3,,,,,154,,,6,102,331,4,,,,,18,256,28,1,,,,,,53,111,,,,,,
2517,20,784,,866,338,39,64,561,1171,,706,49,1030,,,5,,15,,770,14,,,,573,30,263,115,212,11,19,,20,,,64,,519,,,42,396,758,17,,,,,4,474,228,,,42,,7,,398,610,17,5,,,,
2518,8,215,,648,260,26,255,1025,1934,4,1191,815,2533,,,,,8,,182,33,,,,352,20,276,79,175,6,16,,10,,,255,,729,,,296,945,932,57,,,4,,5,511,675,11,,349,67,388,,1173,1228,118,14,,,,
2519,2,305,,864,600,58,362,594,1170,1,1196,148,1823,,,,,2,,281,24,,,,753,,111,219,371,10,1,,57,119,,243,,499,,,95,528,604,38,,,1,,17,593,586,3,,144,1,,,936,712,162,13,,,,
2525,,465,,617,671,2,,240,1196,1,465,175,840,,,,,,1,344,120,,,,593,,24,324,324,23,,,2,,,,,143,,,97,475,698,23,,,1,,,427,38,,,175,,,,427,294,116,3,,,,
2526,1,337,,283,836,1,71,253,2003,19,1043,403,1337,15,,,,1,,37,300,,,,170,,113,454,250,132,1,,,,,71,,89,,,164,613,1004,386,,,19,,,1002,41,266,,31,,106,,744,359,110,124,15,,,
2527,,1769,,257,252,,,614,3136,95,1995,275,1321,148,,,,,,,1769,,,,21,,236,2,107,143,,,,,,,,122,3,,489,765,1138,1233,,,95,,,1989,6,110,10,153,,2,,830,336,88,67,148,,,
2528,,31,,863,89,1,10,683,2447,92,229,1881,4080,1,,,,,,27,4,,,,54,,809,,89,,,,1,,,10,,146,5,,532,854,568,1025,,,92,,2,207,20,982,85,594,,220,,1516,873,823,868,1,,,
2529,1,2475,,695,717,50,135,648,3093,9,1182,139,1880,23,,,,1,59,77,2339,,,,204,12,479,167,505,45,2,47,1,,,135,,247,,,401,783,1670,640,,,9,,81,1019,82,45,,94,,,,1122,610,124,24,23,,,
2530,,1595,,757,394,25,,637,4458,155,1655,1018,3133,25,,,,,,4,1591,,,,30,,727,10,185,199,,23,2,,,,,174,4,,459,1257,1439,1762,,,155,,,1530,125,672,114,212,,20,,1687,764,242,440,25,,,
2533,3,249,,3015,651,7,240,166,1280,,591,9,988,220,,,2,1,,209,40,,,,1312,,1703,6,450,195,7,,,,,240,,138,,,28,338,697,245,,,,,,591,,1,,8,,,,224,544,220,,220,,,
2534,2,258,,1242,206,6,72,55,446,,211,1,314,201,1,1,,,,171,87,,,,485,,757,1,128,77,6,,,,,72,,52,,,3,138,237,71,,,,,,211,,,,1,,,,27,150,137,,201,,,
2535,,,,2035,223,,,25,181,,153,9,433,804,,,,,,,,,,,16,,2019,,78,145,,,,,,,,15,,,10,87,35,59,,,,,,153,,,,9,,,,82,136,215,,804,,,
2536,,,,8326,16,,34,183,406,4,3,1793,530,1051,,,,,,,,,,,,,8326,,11,5,,,,,,34,,14,,,169,27,1,378,,,,4,,3,,524,,1269,,,,20,80,184,246,822,,229,
2537,,,,4890,9,,,225,280,15,9,315,543,1144,,,,,,,,,,,,,4890,,2,7,,,,,,,,2,,,223,17,1,262,,,,15,,9,,191,,124,,,,19,56,174,294,1025,,119,
2538,,,,597,5,,,3,73,,,2,26,372,,,,,,,,,,,,,597,,2,3,,,,,,,,,,,3,22,,51,,,,,,,,2,,,,,,3,16,7,,361,11,,
2539,,,,10296,10,,,21,757,,3,256,152,723,,,,,,,,,,,,,10296,,7,3,,,,,,,,1,,,20,98,1,658,,,,,,3,,182,,74,,,,25,35,42,50,386,,337,
2540,,190,,16838,848,1,27,691,3214,16,49,917,1336,2062,,,,,,,190,,,,39,,16799,14,81,753,1,,,,,27,,32,353,,306,315,129,2770,,,15,1,,49,,819,,98,,,,190,228,479,439,2025,17,20,
2541,,70,,949,262,101,,1072,4129,32,458,3276,2364,130,,,,,,,70,,,,27,,922,,48,214,,101,,,,,,16,3,,1053,457,144,3528,,,11,21,,457,1,1526,,1049,,701,,347,638,109,1270,126,,4,
2545,,,,128,,,,9,10,,1,29,24,415,,,,,,,,,,,,,128,,,,,,,,,,,,,,9,,,10,,,,,,1,,29,,,,,,1,,,23,274,,139,2
2546,,,,4925,3,,,38,19,3,24,327,54,801,,,,,,,,,,,,,4925,,2,1,,,,,,,,1,,,37,,,19,,,,3,,24,,7,,320,,,,4,8,12,30,566,,235,
2548,,,,3608,10,,137,111,173,20,9,619,267,85,,,,,,,,,,,3,,3605,,8,2,,,,,,137,,,,,111,12,1,160,,,,20,,9,,38,,581,,,,12,25,185,45,80,,5,
2549,,,,776,11,,,60,210,1,,110,107,752,,,,,,,,,,,,,776,,1,10,,,,,,,,1,,,59,2,,208,,,,1,,,,27,,83,,,,2,7,63,35,707,,45,
2550,,,,1055,41,,,217,882,3,2,953,526,4374,,,,,,,,,,,,,1055,,2,39,,,,,,,,,,,217,33,,849,,,,3,,2,,693,,260,,,,17,38,41,430,3159,1,1200,14
2551,,,,1032,,,,48,106,39,,295,167,334,,,,,,,,,,,,,1032,,,,,,,,,,,,,,48,1,,105,,,,39,,,,193,,82,,20,,,,5,162,153,,181,
2555,,,,2,68,,,,,,,,,2,,,,,,,,,,,,,2,,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2556,,,,,733,,,1,1,,,,,1,,,,,,,,,,,,,,,56,677,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
2557,,1008,,,1285,53,,512,166,1,5575,,23,1,,,,,961,,47,,,,,,,20,196,1069,,53,,,,,,511,1,,,129,37,,,1,,,35,5466,74,,,,,,,,23,,,1,,,
2558,,221,,1,16,,,83,1346,1480,185,179,184,,,,,,7,,214,,,,1,,,2,14,,,,,,,,,29,52,,2,541,805,,,1379,101,,,176,9,,172,7,,,27,111,46,,,,,,
2559,,6,,,4,,,29,71,58,247,656,6,,,,,,,,6,,,,,,,,1,3,,,,,,,,25,4,,,37,34,,,47,11,,,177,70,,236,,,420,,,6,,,,,,
2560,,1715,,54,2230,16,63,4076,9026,3766,2381,4573,2583,40,,,,,357,12,1346,,,,13,,41,1051,499,680,,16,,,,63,,744,1150,2060,122,3994,5013,19,,2814,952,,7,2030,344,2,1884,739,60,1888,335,1061,839,316,32,40,,,
2563,,3,,3,54,,,,23,,1,,3,335,,,,,,,3,,,,,,3,,7,47,,,,,,,,,,,,9,14,,,,,,,1,,,,,,,,2,1,,,335,,,
2564,,2,,2,85,,,326,425,1844,283,1485,676,,,,,,,1,1,,,,2,,,5,18,62,,,,,,,,315,,11,,175,250,,,1788,56,,,42,241,,574,5,3,903,400,69,206,1,,,,,
2565,63,2127,,9,827,35,,848,731,2616,2691,384,1361,56,7,,,56,2122,2,3,,,,3,5,1,307,370,150,,34,1,,,,,580,,261,7,314,417,,,2582,34,,,1605,1086,,193,,,191,971,128,262,,,56,,,
2566,,382,,10,254,57,,262,2183,4234,513,715,665,1,,,,,192,,190,,,,3,,7,15,58,181,,57,,,,,,222,10,19,11,770,1413,,,4113,121,,,264,249,,689,3,,23,351,170,141,2,1,1,,,
2567,,7189,,24,2678,19,3,350,2538,103,564,44,168,1,,,,,1592,2,5595,,,,23,,1,2073,590,15,,19,,,,3,,123,216,1,10,815,1722,1,,81,22,,,518,46,,37,7,,,,109,59,,,1,,,
2568,,,,8,427,,,4,9,,43,,182,19,,,,,,,,,,,7,,1,5,18,404,,,,,,,,4,,,,,9,,,,,,,43,,,,,,,,10,2,170,,19,,,
2569,,35,,,352,,,2,63,,9,,1,12,,,,,,,35,,,,,,,,13,339,,,,,,,,2,,,,21,38,4,,,,,,9,,,,,,,,1,,,,12,,,
2570,42,3847,,152,5245,1122,6,568,3232,1,8755,35,557,198,,,,42,1423,50,2374,,,,143,,9,1349,872,3024,,1122,,,,6,,510,3,7,48,1183,1914,135,,,1,,,8582,173,6,,29,,,8,203,310,35,1,197,,1,
2571,,706,,66,2759,1,,109,1198,6,500,34,162,102,,,,,134,4,568,,,,29,,37,117,290,2352,,1,,,,,,33,17,,59,363,521,314,,,6,,,493,7,11,,23,,,,77,68,1,16,99,,3,
2572,,178,,125,552,,,53,583,5,516,1,73,100,,,,,,2,176,,,,1,,124,1,33,518,,,,,,,,15,1,,37,179,278,126,,,5,,,512,4,1,,,,,,36,35,,2,100,,,
2573,,275,,14,952,,,111,1054,26,147,77,196,17,,,,,,,275,,,,1,,13,,16,936,,,,,,,,14,33,,64,415,337,302,,,26,,,147,,69,,8,,,,97,60,17,22,17,,,
2574,,213,,2,899,,,9,688,5,31,5,175,109,,,,,,,213,,,,2,,,4,29,866,,,,,,,,4,,,5,185,209,294,,,5,,,31,,5,,,,,,29,13,133,,109,,,
2575,1,63,,1123,968,5,,296,2509,8,1088,155,536,781,,,,1,,2,61,,,,176,,947,3,242,723,5,,,,,,,90,29,,177,444,413,1652,,,7,1,,1086,2,94,,61,,,,205,306,,25,780,,1,
2576,94,82,,3202,1370,108,5,128,651,,162,34,352,263,7,12,,75,,75,7,,,,1051,3,2148,27,882,461,108,,,,,5,,69,,,59,151,292,208,,,,,1,159,2,14,,20,,,,45,300,7,,263,,,
2577,,43,,1592,695,5,,505,2266,6,224,231,631,2510,,,,,,4,39,,,,184,,1408,1,162,532,5,,,,,,,213,,,292,423,213,1630,,,5,1,,223,1,120,,111,,,,221,356,15,39,2502,,8,
2578,,,,1143,16,,,44,129,1,1,1,153,125,,,,,,,,,,,1,,1142,,9,7,,,,,,,,2,,,42,42,5,82,,,,1,,1,,,,1,,,,32,114,,7,124,,1,
2579,,,,183,88,,,11,465,,17,87,65,1583,,,,,,,,,,,3,,180,,24,64,,,,,,,,1,,,10,120,1,344,,,,,,17,,87,,,,,,4,23,,38,1516,,66,1
2580,,490,,272,332,109,1,1425,2448,59,508,2874,2786,3696,,,,,,,490,,,,13,,259,5,34,293,,109,,,,1,,7,33,,1385,201,110,2137,,,26,33,,500,8,1858,,707,34,275,,387,586,147,1666,3343,121,231,1
2581,,31,,11,31,,,80,116,1,15,24,37,820,,,,,,,31,,,,,,11,,,31,,,,,,,,,,,80,12,2,102,,,,1,,15,,24,,,,,,17,15,,5,623,114,82,1
2582,,285,,58,1435,,,303,1632,22,91,174,468,1508,,,,,175,,110,,,,16,,42,135,48,1252,,,,,,,,24,,,279,296,82,1254,,,21,1,,91,,174,,,,,,152,196,2,118,1320,122,64,2
2583,,,,15,20,,,105,134,5,,194,371,1287,,,,,,,,,,,,,15,,,20,,,,,,,,,,,105,21,,113,,,,5,,,,172,,22,,,,1,20,,350,709,351,199,28
2584,,,,2,,,,74,58,1,,23,14,437,,,,,,,,,,,,,2,,,,,,,,,,,,,,74,4,,54,,,,1,,,,10,,13,,,,,4,,10,191,61,160,25
2585,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,35
2586,,,,7,2,,,115,5,35,12,96,30,1510,,,,,,,,,,,,,7,,,2,,,,,,,,61,,,54,1,,4,,,,35,,12,,10,,86,,,,,,,30,212,591,439,268
2587,,,,2,1,,,28,4,501,,37,115,718,,,,,,,,,,,,,2,,,1,,,,,,,,,,,28,,,4,,,,501,,,,37,,,,,,,,,115,35,289,90,304
2588,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,129,5,31
2590,,,,14,23,,,119,186,1384,1,277,640,721,,,,,,,,,,,,,14,,,23,,,,,,,,,,,119,1,,185,,,,1384,,1,,249,,28,,,,1,3,52,584,255,324,27,115
2594,,1,,8,17,,,238,585,1226,1,1368,504,1615,,,,,,,1,,,,,,8,,1,16,,,,,,,,3,,,235,4,,581,,,,1226,,1,,935,,413,,20,,1,10,40,453,913,520,65,117
2600,2239,2,955,6,,434,127,6,1,11,59,,120,4,208,1891,140,,,2,,1,,954,6,,,,,,429,,5,127,,,,6,,,,,1,,11,,,,57,,2,,,,,,,,4,116,,4,,,
2601,,,2456,,,21,159,1,,,2,,1,,,,,,,,,,,2456,,,,,,,10,,11,158,,,1,1,,,,,,,,,,,2,,,,,,,,,,1,,,,,,
2602,2106,974,445,513,12,5836,3934,2,3,,2029,,69,,6,2096,4,,,974,,,98,347,513,,,,12,,4405,,1431,3934,,,,2,,,,3,,,,,,,2029,,,,,,,,,,12,57,,,,,
2603,2408,9,490,2,2,641,1622,,,,51,104,3,,684,1653,71,,,9,,341,,149,1,1,,,2,,415,,226,1621,,1,,,,,,,,,,,,,51,,,,,,104,,,,3,,,,,,
2604,924,406,1754,87,5,908,1951,237,32,,275,,231,,6,909,9,,,406,,23,,1731,87,,,2,3,,534,,374,1951,,,,237,,,,25,7,,,,,,230,1,44,,,,,,,1,49,181,,,,,
2605,2234,336,,429,15,1520,235,,,,106,,40,,20,2214,,,2,334,,,,,428,1,,,15,,1065,,455,235,,,,,,,,,,,,,,,106,,,,,,,,,,3,37,,,,,
2606,528,386,128,463,24,1977,2153,1,4,,149,,22,,173,355,,,25,361,,,,128,463,,,,24,,664,,1313,2063,,90,,1,,,,,4,,,,,,123,1,25,,,,,,,,16,6,,,,,
2607,1288,875,,1361,201,1880,317,11,14,,31,,356,,3,1285,,,8,867,,,,,1361,,,27,174,,1533,,347,317,,,,11,,,,5,9,,,,,,11,7,13,,,,,,,,98,258,,,,,
2609,,,,1,16,36,259,31,,2,54,34,51,97,,,,,,,,,,,,,1,,,16,,,36,259,,,,31,,,,,,,2,,,,,,54,,,34,,,,,3,48,,95,,2,
2611,1213,3742,,3149,332,5555,1050,262,290,,221,,579,58,,1213,,,1025,2717,,,,,3149,,,15,315,2,3606,86,1863,1050,,,,262,,,,121,169,,,,,,5,139,77,,,,,,,5,337,237,,58,,,
2612,1280,141,3714,2,2,955,4736,,2,,318,162,13,1,23,1165,92,,,141,,,212,3502,2,,,,,2,751,,204,4707,,,29,,,,,2,,,,,,,305,,13,,,,162,,,,4,9,,1,,,
2614,1589,968,,1534,72,2708,337,137,299,,550,,408,,,1589,,,,968,,,,,1534,,,10,62,,1213,,1495,331,,6,,48,,89,,163,136,,,,,,74,266,210,,,,,,,7,122,279,,,,,
2615,65,4782,,2523,340,1841,150,253,4769,2,3692,32,701,,,65,,,1035,2446,1301,,,,2516,7,,161,179,,96,1029,716,150,,,,250,1,,2,2343,2426,,,,2,,,2877,815,,1,31,,,,142,406,153,,,,,
2617,331,2093,646,2633,332,3680,4502,108,734,,1031,,225,,,330,1,,193,1900,,,,646,2633,,,109,223,,1628,,2052,4474,,16,12,108,,,,304,430,,,,,,232,583,216,,,,,,,12,61,152,,,,,
2618,57,7,,23,381,43,,3,2,,2,,4,3,,54,,3,,7,,,,,23,,,2,37,342,41,,2,,,,,3,,,,,1,1,,,,,,2,,,,,,,,,4,,,3,,,
2619,470,890,,79,1413,91,,29,214,,225,,36,,,466,,4,609,131,150,,,,79,,,1301,109,3,35,,56,,,,,28,,,1,64,150,,,,,,,225,,,,,,,,3,33,,,,,,
2620,13,2049,,153,4846,1567,1598,642,2573,16,3469,1880,1537,704,,13,,,1425,50,574,,,,148,,5,456,355,4035,31,17,1519,143,,1455,,444,,5,193,1326,1237,10,,,15,1,,2310,1159,197,32,1569,,82,,802,631,58,46,695,,9,
2621,23,524,,65,1016,,,20,239,,718,,9,312,,23,,,421,16,87,,,,64,,1,116,56,844,,,,,,,,17,,,3,102,126,11,,,,,,502,216,,,,,,,,9,,,312,,,
2622,,,,14,16,,,62,131,,5,36,124,2258,,,,,,,,,,,,,14,,1,15,,,,,,,,,,,62,8,,123,,,,,,5,,35,,1,,,,22,22,40,40,1637,10,608,3
2623,,,,,,,,4,48,2,1,147,16,115,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,46,,,,2,,1,,147,,,,,,1,2,,13,87,,27,1
2624,,,,,,,1,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,5,
2625,,,,1,,,265,4,,,,1,2,282,,,,,,,,,,,,,1,,,,,,,,,265,,,,,4,,,,,,,,,,,,,1,,,,,2,,,276,,6,
2626,,,,2,,,,23,32,,,5,8,234,,,,,,,,,,,,,2,,,,,,,,,,,,,,23,,,32,,,,,,,,5,,,,,,1,2,,5,223,,11,
2627,,1,,39,138,,1061,351,280,3,349,68,250,842,,,,,,,1,,,,3,,36,,28,110,,,,,,1061,,49,,,302,73,11,196,,,,3,,349,,4,,64,,,,45,181,,24,789,1,51,1
2628,,,,2,,,,142,85,22,1,143,100,754,,,,,,,,,,,,,2,,,,,,,,,,,,,,142,1,,84,,,,22,,1,,140,,3,,,,,10,,90,527,24,178,25
2629,,,,2,,,2,16,,,,,19,566,,,,,,,,,,,,,2,,,,,,,,,2,,,,,16,,,,,,,,,,,,,,,,,,,11,8,90,104,329,43
2630,,1,,56,11,,,768,354,56,38,967,1082,1347,,,,,,,1,,,,1,,55,,5,6,,,,,,,,1,,,767,8,13,333,,,6,50,,38,,649,,318,,,,31,115,24,912,1086,194,62,5
2631,,,,,,,,11,,,,,17,544,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,17,105,165,189,85
2632,,,,2,4,,1,1,2,4,,26,10,948,,,,,,,,,,,,,2,,,4,,,,,,1,,,,,1,,,2,,,,4,,,,17,,9,,,,,,,10,41,197,157,553
2633,,,,,,,,,,,,,1,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,84,9,131
2640,9,282,,232,699,89,92,2300,5358,1040,836,3529,2710,693,,9,,,,,282,,,,58,,174,,70,629,,89,,,,92,,49,75,,2176,306,198,4854,,,2,1038,,821,15,1598,,1493,,438,,556,409,367,1378,540,128,15,10
2641,,,,2,34,,,839,1167,1505,27,2375,1528,60,,,,,,,,,,,,,2,,,34,,,,,,,,,45,,794,14,1,1152,,,1,1504,,27,,1382,,986,,7,,16,22,23,1467,49,,8,3
2642,,,,,3,,,7,122,10,,48,3,1603,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,,,122,,,,10,,,,48,,,,,,,,,3,479,583,110,431
2643,,,,3,21,,,163,241,88,,217,340,116,,,,,,,,,,,,,3,,,21,,,,,,,,,,,163,3,,238,,,,88,,,,217,,,,,,,3,,337,48,3,43,22
2644,,,,,24,,,7,34,50,,18,26,753,,,,,,,,,,,,,,,,24,,,,,,,,,,,7,,,34,,,,50,,,,18,,,,,,,,,26,25,206,50,472
2645,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,2,123
2646,,,,50,8,,,300,181,931,1,269,787,482,,,,,,,,,,,1,,49,,,8,,,,,,,,,,,300,,,181,,,,931,,1,,208,,61,,,,3,6,1,777,72,91,94,225
2647,,,,132,9,,,167,115,76,3,76,247,172,,,,,,,,,,,,,132,,2,7,,,,,,,,,,,167,1,,114,,,,76,,3,,37,,39,,,,2,13,21,211,71,13,67,21
2648,,,,1,1,,,19,5,71,,9,23,1186,,,,,,,,,,,,,1,,1,,,,,,,,,,,,19,,,5,,,,71,,,,9,,,,,,,,,23,106,374,84,622
2649,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,,
2650,,909,,201,1142,75,469,2870,7189,1267,905,6104,3476,2365,,,,,,,909,,,,90,,111,2,134,1006,,74,1,,,469,,54,300,,2516,411,348,6430,,,36,1231,,870,35,2937,,1929,,1238,,531,371,469,2105,1618,664,43,40
2651,,,,,,59,,181,169,109,,242,68,41,,,,,,,,,,,,,,,,,,59,,,,,,,95,,86,,,169,,,2,107,,,,241,,,,1,,,,,68,24,9,5,3
2652,,,,2,29,,,61,182,21,,28,21,2556,,,,,,,,,,,,,2,,,29,,,,,,,,,,,61,,,182,,,,21,,,,28,,,,,,,1,,20,475,1170,211,700
2653,,,,,9,,,5,20,15,6,71,25,1025,,,,,,,,,,,,,,,,9,,,,,,,,,,,5,,,20,,,,15,,6,,71,,,,,,,,,25,54,323,129,519
2655,,,,1,42,,,313,22,18,,19,114,824,,,,,,,,,,,,,1,,,42,,,,,,,,295,,,18,1,,21,,,,18,,,,18,,1,,,,2,2,,110,495,91,56,182
2656,,,,1,,,,1,,35,,5,4,872,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,35,,,,2,,3,,,,,,,4,21,411,44,396
2658,,,,1,11,,,2,6,7,1,14,10,637,,,,,,,,,,,,,1,,,11,,,,,,,,,,,2,,,6,,,,7,,1,,14,,,,,,,1,,9,8,144,19,466
2659,,,,,2,,,,4,,,2,,279,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,14,62,31,172
2660,,,,,8,,,,26,12,,28,11,594,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,26,,,,12,,,,28,,,,,,,,,11,17,106,34,437
2661,,,,,4,,,44,11,,,,5,40,,,,,,,,,,,,,,,,4,,,,,,,,,,,44,,,11,,,,,,,,,,,,,,,3,,2,40,,,
2663,,,,,15,,,122,231,777,1,240,243,248,,,,,,,,,,,,,,,,15,,,,,,,,,,,122,6,,225,,,,777,,1,,214,,26,,,,1,1,,241,95,87,10,56
2665,,,,,,,,1,,18,,2,,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,18,,,,2,,,,,,,,,,54,785,7,600
2666,,,,8,7,,,147,124,767,2,299,440,1100,,,,,,,,,,,,,8,,,7,,,,,,,,,,,147,,,124,,,,767,,2,,222,,77,,,,1,4,1,434,204,673,83,140
2668,,,,,,,,,,1,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,11,155,4,131
2669,,,,,,,,,,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,832,2,303
2671,,,,,1,,,30,57,673,,87,110,951,,,,,,,,,,,,,,,,1,,,,,,,,,,,30,,,57,,,,673,,,,87,,,,,,,,,110,63,588,35,265
2672,,,,1,,,,3,7,43,,10,5,735,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,7,,,,43,,,,10,,,,,,,,,5,57,246,18,414
2675,,,,,1,,,1,5,,,10,5,745,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,5,,,,,,,,10,,,,,,,,,5,7,243,20,475
2678,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2680,,34,,6,108,3,,1241,3270,181,26,2166,1108,2329,,,,,,,34,,,,,,6,,7,101,,3,,,,,,,221,,1020,39,2,3229,3,,4,174,,26,,929,,976,,261,,52,55,40,961,1670,518,77,64
2681,,,,,,,,22,60,37,,81,3,505,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,60,,,,37,,,,81,,,,,,,,,3,273,143,39,50
2700,,,,,,,,43,28,1395,,109,131,489,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,28,,,,1395,,,,107,,2,,,,1,,,130,160,239,8,82
2701,,,,1,,,,43,191,177,,99,72,547,,,,,,,,,,,,,1,,,,,,,,,,,,,,43,,,191,,,,177,,,,99,,,,,,,2,17,53,254,134,14,145
2702,,,,,,,,,6,,,4,4,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,,,4,6,119,9,270
2703,,,,,,,,,2,201,,11,3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,201,,,,11,,,,,,,,,3,28,5,,16
2705,,,,,17,,,219,499,1513,2,595,226,1266,,,,,,,,,,,,,,,,17,,,,,,,,,46,,173,,,499,,,,1513,,2,,328,,143,,124,,2,2,,222,517,460,11,278
2706,,,,,,,,,11,184,,30,3,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,184,,,,30,,,,,,,,,3,24,63,9,225
2707,,,,,3,,,,1,7,,4,1,726,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,7,,,,4,,,,,,,,,1,30,443,10,243
2710,,,,12,13,,,198,139,1794,4,323,251,1536,,,,,,,,,,,,,12,,,13,,,,,,,,,,,198,,,139,,,,1794,,4,,207,,43,,73,,1,3,1,246,323,549,93,571
2711,,,,1,,,,11,13,827,,24,28,740,,,,,,,,,,,,,1,,,,,,,,,,,,,,11,,,13,,,,827,,,,24,,,,,,,,,28,39,431,20,250
2712,,,,,,,,6,2,56,,3,16,733,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,56,,,,3,,,,,,,,1,15,28,284,28,393
2713,,,,,4,,,20,24,668,,16,36,670,,,,,,,,,,,,,,,,4,,,,,,,,,,,20,,,24,,,,668,,,,14,,2,,,,,,,36,52,489,26,103
2714,,,,78,10,,,149,57,289,,74,276,697,,,,,,,,,,,,,78,,,10,,,,,,,,,,,149,,,57,,,,289,,,,69,,5,,,,,3,,273,198,181,202,116
